200,7066,89.74977772132605%
503,86,1.092340911977645%
404,73,0.9272196113298615%
429,11,0.13971802362504762%
403,401,5.093357043058554%
400,16,0.20322621618188746%
TCPTimeout,146,1.854439222659723%
406,6,0.07620983106820779%
500,13,0.16512130064778358%
520,5,0.06350819255683983%
TimeoutError,14,0.17782293915915154%
405,4,0.050806554045471866%
204,8,0.10161310809094373%
401,4,0.050806554045471866%
203,3,0.038104915534103896%
418,1,0.012701638511367967%
302,1,0.012701638511367967%
502,3,0.038104915534103896%
410,2,0.025403277022735933%
522,4,0.050806554045471866%
444,1,0.012701638511367967%
0,1,0.012701638511367967%
451,1,0.012701638511367967%
402,1,0.012701638511367967%
523,2,0.025403277022735933%
